Referencia;Descripcion;Familia Padre;Familia;Subfamilia;Stock Fisico;Stock Operativo;Stock Comercial;Mar;Puerto;Despachado
02859;"Flux TLM 603500 White A";"GAE";"Campanas";"Campanas telescópicas";0;0;0;0;0;0
02860;"Flux TLM 603500 Black A";"GAE";"Campanas";"Campanas telescópicas";0;0;0;0;0;0
02861;"Flux TLM 603500 Inox A";"GAE";"Campanas";"Campanas telescópicas";0;0;0;0;0;0
02864;"Flux TLT 605500 Glass White A++";"GAE";"Campanas";"Campanas telescópicas";0;0;0;0;0;0
02863;"Flux TLT 605500 Glass Black A++";"GAE";"Campanas";"Campanas telescópicas";0;0;0;0;0;0
02865;"Flux IM 523500 Inox B";"GAE";"Campanas";"Campanas filtrantes";0;0;0;0;0;0
02869;"Flux PM 603500 Inox B";"GAE";"Campanas";"Campanas pirámide";0;0;0;0;0;0
02870;"Flux PM 606500 Inox A";"GAE";"Campanas";"Campanas pirámide";0;0;0;0;0;0
02871;"Flux PM 606500 Black A";"GAE";"Campanas";"Campanas pirámide";0;0;0;0;0;0
02872;"Flux PT 605500 Inox A++";"GAE";"Campanas";"Campanas pirámide";0;0;0;0;0;0
02878;"Flux TM 606500 Inox A";"GAE";"Campanas";"Campanas "T"";0;0;0;0;0;0
02879;"Flux TM 606500 Black A";"GAE";"Campanas";"Campanas "T"";0;0;0;0;0;0
02880;"Flux TT 605500 Glass Black A++";"GAE";"Campanas";"Campanas "T"";0;0;0;0;0;0
02877;"Flux TM 703500 Inox B";"GAE";"Campanas";"Campanas "T"";0;0;0;0;0;0
02885;"Flux TT 905500 Glass Black A++";"GAE";"Campanas";"Campanas "T"";0;0;0;0;0;0
02886;"Flux TT 905500 Glass White A++";"GAE";"Campanas";"Campanas "T"";0;0;0;0;0;0
02889;"Flux DM 603500 Glass Black B";"GAE";"Campanas";"Campanas decorativas";0;0;0;0;0;0
02891;"Flux DT 606500 Glass Black A";"GAE";"Campanas";"Campanas decorativas";0;0;0;0;0;0
02892;"Flux DT 608000 Glass Black A++";"GAE";"Campanas";"Campanas decorativas";0;0;0;0;0;0
02893;"Flux DT 608001 Glass Black A++";"GAE";"Campanas";"Campanas decorativas";0;0;0;0;0;0
02894;"Flux DT 608002 Glass Black A++";"GAE";"Campanas";"Campanas decorativas";0;0;0;0;0;0
02897;"Flux DT 906500 Glass Black A";"GAE";"Campanas";"Campanas decorativas";0;0;0;0;0;0
02898;"Flux DT 908000 Glass Black A++";"GAE";"Campanas";"Campanas decorativas";0;0;0;0;0;0
02899;"Flux DT 908001 Glass Black A++";"GAE";"Campanas";"Campanas decorativas";0;0;0;0;0;0
02901;"Flux DT 908002 Glass Black A++";"GAE";"Campanas";"Campanas decorativas";0;0;0;0;0;0
02903;"Flux IRE 388000 Inox A++";"GAE";"Campanas";"Campanas de isla";0;0;0;0;0;0
02904;"Flux IRE 388000 Black A++";"GAE";"Campanas";"Campanas de isla";0;0;0;0;0;0
02905;"Flux ICT 388000 Inox A++";"GAE";"Campanas";"Campanas de isla";0;0;0;0;0;0
02906;"Flux ICT 388000 Black A++";"GAE";"Campanas";"Campanas de isla";0;0;0;0;0;0
02907;"Flux ICT 908000 Glass Black A++";"GAE";"Campanas";"Campanas de isla";0;0;0;0;0;0
02909;"Flux CCT 448000 White A++";"GAE";"Campanas";"Campanas de isla";0;0;0;0;0;0
02908;"Flux CCT 448000 Black A++";"GAE";"Campanas";"Campanas de isla";0;0;0;0;0;0
02915;"Flux CRE 448000 Inox A++";"GAE";"Campanas";"Campanas de isla";0;0;0;0;0;0
02918;"Flux CRE 448000 White A++";"GAE";"Campanas";"Campanas de isla";0;0;0;0;0;0
02919;"Flux CET 568000 Inox A++";"GAE";"Campanas";"Campanas de isla";0;0;0;0;0;0
02922;"Flux CET 568000 White A++";"GAE";"Campanas";"Campanas de isla";0;0;0;0;0;0
02923;"Flux TIR 908000 Inox A++";"GAE";"Campanas";"Campanas de isla";0;0;0;0;0;0
02924;"Flux TIR 908000 Glass White A++";"GAE";"Campanas";"Campanas de isla";0;0;0;0;0;0
02925;"Flux ET 608000 Glass Black A++";"GAE";"Campanas";"Campanas downdraft";0;0;0;0;0;0
02926;"Flux ET 908000 Glass Black A++";"GAE";"Campanas";"Campanas downdraft";0;0;0;0;0;0
04988;"Freidoras sin aceite cecofry experience 6000 m";"PAE Cocina";"Freidoras";"Freidoras sin aceite";0;0;0;0;0;0
01626;"Cafetera Megautoma´tica Power Matic-ccino Vaporissima";"PAE Cocina";"Cafeteras";"Cafeteras superautomáticas";5;4;4;0;0;1050
03234;"Tostador vertical Toast&Taste 1000 Retro Double Blue";"PAE Cocina";"Tostadores";"Tostadores verticales";1313;1312;1312;0;0;0
08605;"Robot aspirador Conga 2299 Inertial Connected";"Aspiración y Limpieza";"Aspiradores verticales";"Cafeteras superautomáticas";2076;0;2076;0;0;0
04754;"Palomitero Fun&Taste Pop Corn (Exclusivo Consum)";"PAE Cocina";"Lavavajillas";"Aspiradores trineo sin bolsa";5700;0;12003;0;0;0
02363;"BOLERO AGUAZERO 1006 COMPACT";"GAE";"Lavavajillas";"Lavavajillas 45 CM";2;2;2;0;0;0
02581;"TV Cecotec A1 series ALU10043S";"Gama Marrón";"Televisores";"Televisores LED";0;0;0;0;0;0
05763;"Aspirador vertical digital Conga Rockstar 1600 Advance";"Aspiración y Limpieza";"Aspiradores verticales";"Aspiradores verticales BLDC";3773;3772;3772;0;0;0
02502;"Placa Bolero Squad I 3000";"GAE";"Placas de inducción";"Placa de inducción portátil";0;-1;-1;0;0;0
